2021/09/04 18:39:09 [error] 24#24: *1 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost"
2021/09/04 18:40:22 [error] 27#27: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost"
2021/09/04 18:40:22 [error] 27#27: *2 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost"
2021/09/04 18:43:27 [error] 27#27: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 18:43:27 [error] 27#27: *1 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 18:43:28 [error] 27#27: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 18:43:28 [error] 27#27: *1 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 18:43:32 [error] 27#27: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 18:43:32 [error] 27#27: *1 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 18:45:28 [error] 27#27: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:45:28 [error] 27#27: *2 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:45:29 [error] 27#27: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:45:29 [error] 27#27: *2 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:50:30 [error] 27#27: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:50:30 [error] 27#27: *5 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:50:31 [error] 27#27: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:50:31 [error] 27#27: *5 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:50:31 [error] 27#27: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:50:31 [error] 27#27: *5 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:50:32 [error] 27#27: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:50:32 [error] 27#27: *5 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:50:32 [error] 27#27: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:50:32 [error] 27#27: *5 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:51:59 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:52:08 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
